id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1720694,BOUYGUES TELECOM,"LTE 700, LTE 2100, 5G NR 2100, 5G NR 3500",BOULEVARD PLEIN OUEST 56170 QUIBERON,56186,"47.4911,-3.1236",Pylône autostable,"32,5m",HIVORY,2025-12-15,ALL,,False,False
1725711,SFR,"LTE 700, LTE 2100, 5G NR 2100",VC N°4 DITE DE LA TREMBLAIS (LA BARRIÈRE) 35133 JAVENE,35137,"48.3119,-1.2169",Pylône autostable,27m,HIVORY,2025-12-31,ALL,,False,False
1735295,SFR,"GSM 900, UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",FORÊT DE CHAUDREUX (LE SIGNAL) 39110 ST THIEBAUD,39495,"46.9722,5.8869",Pylône autostable,50m,HIVORY,2022-09-16,SUP,,False,False
1758395,SFR,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100",BOIS DE LA MILTAIS 44130 BLAIN,44015,"47.4867,-1.7414",Pylône autostable,27m,HIVORY,2025-12-31,ALL,,False,False
1759715,SFR,"LTE 700, LTE 2600",AV PIERRE LE TREUT (LE ZÉPHYR) 35410 CHATEAUGIRON,35069,"48.0383,-1.5003",Pylône tubulaire,35m,HIVORY,2025-12-31,ALL,,False,False
1762542,SFR,5G NR 2100,R DES FORCINS STADE MUN LA GAUPIÈRE (LA GAUPIÈRE) 44450 DIVATTE SUR LOIRE,44029,"47.2744,-1.2842",Pylône autostable,33m,HIVORY,2025-12-31,ALL,,False,False
1770544,FREE MOBILE,"LTE 700, LTE 2100, LTE 2600",10 BD DÉODAT DE SEVERAC ENT BBA EMBALLAGES 31770 COLOMIERS,31149,"43.595,1.3558",Pylône autostable,"32,8m",TOTEM,2026-01-06,ALL,,False,False
1776481,BOUYGUES TELECOM,5G NR 2100, (VILLEPOUPIN) 41100 VILLIERS SUR LOIR,41294,"47.795,1.0006",Pylône autostable,"17,5m",ATC FRANCE,2025-12-29,ALL,,False,False
1785703,ORANGE,5G NR 2100,ROUTE DE TOUSSAINT CHATEAU D'EAU (BEL AIR) 40380 POYANNE,40235,"43.7556,-0.8028",Château d'eau - réservoir,47m,"Syndicat des eaux, Adduction",2025-12-26,ALL,,False,False
1788146,SFR,5G NR 2100,RUE GAMBETTA (LA CROIX DE LAUNAYE) 37380 REUGNY,37194,"47.4858,0.8836",Pylône autostable,"35,5m",HIVORY,2025-12-31,ALL,,False,False
1790636,SFR,"LTE 700, LTE 2100, LTE 2600",RUE JEAN BAPTISTE MARCET (LA CENCIE) 44570 TRIGNAC,44210,"47.3167,-2.1725",Pylône autostable,33m,HIVORY,2025-12-31,ALL,,False,False
1798749,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",924 RTE D'AIX 84120 PERTUIS,84089,"43.6803,5.4986",Pylône tubulaire,15m,HIVORY,2025-12-29,ALL,,False,False
1801224,BOUYGUES TELECOM,5G NR 2100,R DE REININGUE CITÉ GRASSEGERT 68310 WITTELSHEIM,68375,"47.7969,7.23",Château d'eau - réservoir,"46,5m","Syndicat des eaux, Adduction",2025-12-23,ALL,,False,False
1806220,BOUYGUES TELECOM,5G NR 2100,V COMMUNALE N°2 (MARCHAIS DES MESSETS) 86100 SENILLE ST SAUVEUR,86245,"46.8175,0.6533",Pylône autostable,"49,3m",TDF,2025-12-29,ALL,,False,False
1808630,SFR,5G NR 3500,18-20 R ANDRÉ LEMITRE (LA MALADIÈRE) 01500 AMBERIEU EN BUGEY,01004,"45.9628,5.3531",Immeuble,17m,Société HLM,2025-12-31,ALL,,False,False
1810434,BOUYGUES TELECOM,UMTS 900,AV CELESTIN MONTCOCOL GOLF DE SAINTE MAXIME CLUB HOUSE (ZAC DU GOLF) 83120 STE MAXIME,83115,"43.3356,6.65",Bâtiment,11m,Société Privée,2025-12-30,ALL,,False,False
1811468,BOUYGUES TELECOM,"LTE 1800, LTE 2100, 5G NR 2100",ANCIENNE RTE DE BR AURIAC (LES BELLES GARDES) 83670 BARJOLS,83012,"43.5453,5.9858",Pylône autostable,28m,HIVORY,2025-12-31,ALL,,False,False
1811468,SFR,LTE 700,ANCIENNE RTE DE BR AURIAC (LES BELLES GARDES) 83670 BARJOLS,83012,"43.5453,5.9858",Pylône autostable,28m,HIVORY,2025-12-31,ALL,,False,False
1811601,FREE MOBILE,LTE 900,PRÈS D 78 TERRAIN DE SPORTS (LES ISLETTES) 44320 ST PERE EN RETZ,44187,"47.2089,-2.0386",Pylône tubulaire,21m,ATC FRANCE,2026-01-06,ALL,,False,False
1812923,SFR,LTE 700, (COL DU ST BERNARD) 06440 PEILLE,06091,"43.8092,7.4067",Pylône autostable,27m,HIVORY,2025-12-31,ALL,,False,False
1820531,SFR,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",D 81 (LE MICHAUD) 69930 ST LAURENT DE CHAMOUSSET,69220,"45.7342,4.44",Pylône autostable,"20,4m",HIVORY,2025-12-31,ALL,,False,False
1825023,BOUYGUES TELECOM,LTE 2100, (LE PETIT ETRICHÉ) 53170 BAZOUGERS,53025,"48.0456,-0.5783",Pylône autostable,"30,5m",TDF,2025-12-29,ALL,,False,False
1826988,SFR,"LTE 700, 5G NR 3500","7, AV DES ROMAINS (LE FLEURY) 74960 ANNECY",74010,"45.9064,6.1233",Immeuble,29m,"Copropriété, Syndic, SCI",2026-01-05,ALL,,False,False
