id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1291536,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",CENT VILLAS 97680 TSINGONI,97617,"-12.79,45.1014",Immeuble,10m,Particulier,2019-03-11,False,False
1293772,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700",RUE DU DISPENSAIRE 97620 CHIRONGUI,97606,"-12.8942,45.1431",Mât métallique,"10,5m",Telco OI,,False,False
1293772,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",RUE DU DISPENSAIRE 97620 CHIRONGUI,97606,"-12.8942,45.1431",Mât métallique,"10,5m",Telco OI,2019-03-11,False,False
1293772,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",RUE DU DISPENSAIRE 97620 CHIRONGUI,97606,"-12.8942,45.1431",Mât métallique,"10,5m",Telco OI,2019-03-11,False,False
1302514,FREE MOBILE,AJO,LTE 900,AVENUE DE VERDUN 92360 MEUDON,92048,"48.8178,2.2486",Immeuble,26m,"Copropriété, Syndic, SCI",,False,False
1318920,TELCO OI,AJO,5G NR 700,AVENUE DES ARTISANS (POINTE DES CHÂTEAUX) 97436 ST LEU,97413,"-21.1419,55.2797",Pylône tubulaire,16m,Telco OI,,False,False
1318920,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600",AVENUE DES ARTISANS (POINTE DES CHÂTEAUX) 97436 ST LEU,97413,"-21.1419,55.2797",Pylône tubulaire,16m,Telco OI,2017-06-21,False,False
1318920,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",AVENUE DES ARTISANS (POINTE DES CHÂTEAUX) 97436 ST LEU,97413,"-21.1419,55.2797",Pylône tubulaire,16m,Telco OI,2017-06-21,False,False
1322917,FREE MOBILE,AJO,LTE 900,ZA DE LAMBOUX 56250 ELVEN,56053,"47.7194,-2.5886",Pylône autostable,47m,SFR,,False,False
1324473,FREE MOBILE,AJO,LTE 900,74 AVENUE PIERRE BROSSOLETTE 92240 MALAKOFF,92046,"48.8192,2.3089",Immeuble,29m,Société HLM,,False,False
1326531,FREE MOBILE,AJO,LTE 900,RUE LAPLACE ANCIENS ETS CHARVET 41000 BLOIS,41018,"47.6047,1.3356",Pylône autostable,27m,TOTEM,,False,False
1326924,DIGICEL,ALL,LTE 900,"ROUTE DE REDOUTE - 2,500 KM N° 122 F (LUNETTE BROUILLÉ) 97234 FORT DE FRANCE",97209,"14.6242,-61.06",Bâtiment,12m,Particulier,2025-06-01,False,False
1326924,FREE CARAIBES,ALL,UMTS 900,"ROUTE DE REDOUTE - 2,500 KM N° 122 F (LUNETTE BROUILLÉ) 97234 FORT DE FRANCE",97209,"14.6242,-61.06",Bâtiment,12m,Particulier,2025-06-01,False,False
1327176,FREE MOBILE,AJO,LTE 900,216 AV ARISTIDE BRIAND 92220 BAGNEUX,92007,"48.7931,2.3203",Immeuble,"24,5m","Copropriété, Syndic, SCI",,False,False
1329263,FREE MOBILE,AJO,LTE 900,19 RUE DES RESERVOIRS 78000 VERSAILLES,78646,"48.8086,2.1247",Immeuble,23m,"Copropriété, Syndic, SCI",,False,False
133222,FREE MOBILE,AJO,LTE 900,VOIE DE CHALONS DÉCHETTERIE (LE CHEMIN DE CHALONS) 51600 SUIPPES,51559,"49.1228,4.5292",Pylône autostable,42m,TDF,,False,False
1332279,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",1 R RADIO DZIANI (BAHONI) 97615 PAMANDZI,97615,"-12.7975,45.2797",Mât béton,14m,Association,,False,False
1332279,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",1 R RADIO DZIANI (BAHONI) 97615 PAMANDZI,97615,"-12.7975,45.2797",Mât béton,14m,Association,2019-03-11,False,False
1332279,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",1 R RADIO DZIANI (BAHONI) 97615 PAMANDZI,97615,"-12.7975,45.2797",Mât béton,14m,Association,2019-03-11,False,False
1332557,FREE MOBILE,AJO,LTE 900,HIPPODROME DU HAUT RILLON AVENUE DE L'HIPPODROME 17340 CHATELAILLON PLAGE,17094,"46.0733,-1.075",Pylône autostable,47m,HIVORY,,False,False
1332557,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",HIPPODROME DU HAUT RILLON AVENUE DE L'HIPPODROME 17340 CHATELAILLON PLAGE,17094,"46.0733,-1.075",Pylône autostable,47m,HIVORY,2024-07-09,False,False
