id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1445306,FREE MOBILE,5G NR 3500,"RN 7 QUARTIER DE L'ARENIER, L'ARENIER 13560 SENAS",13105,"43.7386,5.1069",Pylône autostable,35m,HIVORY,ALL,,290,,False,False
1449442,FREE MOBILE,5G NR 3500,RUE GABRIEL PERI 44300 NANTES,44109,"47.2081,-1.5742",Immeuble,20m,"Copropriété, Syndic, SCI",ALL,,60|180|330,,False,False
1457034,FREE MOBILE,LTE 800, (FORET DU PLENOT) 25360 COTEBRUNE,25166,"47.2506,6.3133",Pylône autostable,"32,9m",TOTEM,AJO,,30|205|305,,False,False
1463977,FREE MOBILE,5G NR 700,ROUTE DES VIGNES (COLOMBINA) 02130 DRAVEGNY,2A271,"41.9672,8.8108",Pylône autostable,"22,5m",TOTEM,AJA,,60|180|300,,False,False
1465888,FREE MOBILE,LTE 800,ROUTE DU STADE FG DE LA MUSETTE 23130 PEYRAT LA NONIERE,23151,"46.0872,2.2453",Pylône autostable,43m,Conseil Départemental,AJO,,90,,False,False
1465892,FREE MOBILE,LTE 800,RUE DU CHATEAU D'EAU (LE BOIS DUVAL) 27190 NAGEL SEEZ MESNIL,27424,"48.9103,0.9267",Château d'eau - réservoir,35m,"Syndicat des eaux, Adduction",AJO,,40|170|280,,False,False
1465946,FREE MOBILE,LTE 800,LA CROIX DE NIARFEIX 19170 ST MERD LES OUSSINES,19226,"45.6197,2.0336",Pylône autostable,35m,Conseil Départemental,AJO,,30|150|270,,False,False
1466067,FREE MOBILE,LTE 800,D 59 (LA CROIX DU MONTEIX) 23500 LA NOUAILLE,23144,"45.8492,2.0272",Pylône autostable,35m,ATC FRANCE,AJO,,0|95|270,,False,False
1466464,FREE MOBILE,LTE 800,CHEM RURAL N°24 (BOIS DE MORTROUX) 23220 MORTROUX,23136,"46.3911,1.9103",Pylône autostable,49m,Conseil Départemental,AJO,,20|140|260,,False,False
1466468,FREE MOBILE,LTE 800,CHARRAS (TOUVES) 19110 MONESTIER PORT DIEU,19142,"45.5122,2.4936",Pylône autostable,"31,3m",BOUYGUES,AJO,,0|160,,False,False
1466509,FREE MOBILE,LTE 800, (LES TOUROTTES) 10330 ST LEGER SOUS MARGERIE,10346,"48.5181,4.5019",Pylône autostable,33m,Conseil Départemental,AJO,,30|160|265,,False,False
1466573,FREE MOBILE,LTE 800, (LES TAILLES DE RECONSTAT) 23220 CHENIERS,23062,"46.36,1.8464",Pylône autostable,49m,Conseil Départemental,AJO,,120|240,,False,False
1466740,FREE MOBILE,LTE 800,NEGREFOND SUD NEGREFOND SUD 24110 MANZAC SUR VERN,24251,"45.0933,0.5653",Pylône autostable,"43,3m",Conseil Départemental,AJO,,110|230,,False,False
1466744,FREE MOBILE,LTE 800,VAILLONNAT 23220 CHAMPSANGLARD,23049,"46.2772,1.8683",Pylône autostable,49m,Conseil Départemental,AJO,,70|180|300,,False,False
