id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1571729,SFR,"LTE 700, LTE 1800, 5G NR 2100", (LANDE DAUPHIN) 49440 CHALLAIN LA POTHERIE,49061,"47.6167,-1.0306",Pylône autostable,25m,HIVORY,2026-05-05,ALL,,False,False
1571767,BOUYGUES TELECOM,UMTS 900,6 AV ST JÉRÔME 13540 AIX EN PROVENCE,13001,"43.5222,5.4508",Immeuble,18m,BOUYGUES,2016-12-31,SUP,,False,False
1583327,SFR,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",0 CHEM RURAL N°2 (VILLE NEUVE) 72540 CHEMIRE EN CHARNIE,72074,"48.0522,-0.1881",Pylône autostable,32m,HIVORY,,AJO,,False,False
1584242,BOUYGUES TELECOM,UMTS 900,AVENUE DU 8 MAI 1945 84310 MORIERES LES AVIGNON,84081,"43.9386,4.9047",Immeuble,20m,"Copropriété, Syndic, SCI",2009-06-12,SUP,,False,False
1589782,ORANGE,"LTE 1800, 5G NR 2100","LA PANTHIERE, BOIS DE LA MORTAIVE 79290 BRION PRES THOUET",79056,"47.0589,-0.1756",Pylône autostable,"49,6m",ATC FRANCE,2026-04-27,ALL,,False,False
1603986,BOUYGUES TELECOM,LTE 1800,CHEM RURAL N° 26 (BAS CHANTEPIE) 72350 BRULON,72050,"47.9756,-0.21",Pylône autostable,"32,1m",HIVORY,2026-04-29,ALL,,False,False
1609698,BOUYGUES TELECOM,LTE 700,VC 6 DIT DU VIEUX CHEM DE PITHIVIERS (LA CROIX MOREAU) 45300 BOYNES,45050,"48.1247,2.3528",Pylône autostable,25m,ATC FRANCE,,AJO,,False,False
1618790,BOUYGUES TELECOM,LTE 700,CHEM RURAL DE CHAVY (LES VEAUX) 36400 LACS,36091,"46.5997,2.0394",Pylône autostable,30m,HIVORY,2026-05-06,ALL,,False,False
1618797,BOUYGUES TELECOM,LTE 2600,17 B BD DE SUNDERLAND 44600 ST NAZAIRE,44184,"47.2703,-2.2419",Immeuble,"28,4m","Copropriété, Syndic, SCI",2026-04-29,ALL,,False,False
1622147,ORANGE,LTE 700,"VOIE COMMUNALE N°3, DE VILLEPERDUE À SORIGNY LA BÉRANGERIE (PÉAGE DE SORIGNY) 37250 SORIGNY",37250,"47.2167,0.6603",Pylône autostable,30m,TOTEM,2026-05-06,ALL,,False,False
1624022,FREE MOBILE,LTE 2100,107 RUE BLOMET 75015 PARIS 15,75115,"48.8403,2.2986",Immeuble,"30,5m","Copropriété, Syndic, SCI",2026-05-01,ALL,,False,False
1632183,BOUYGUES TELECOM,,CHEMIN MARS (MONTGRILLET) 63117 CHAURIAT,63106,"45.7525,3.2675",Pylône tubulaire,"20,5m",ATC FRANCE,2007-08-21,CHA,Montgrillet,False,False
1632183,FREE MOBILE,,CHEMIN MARS (MONTGRILLET) 63117 CHAURIAT,63106,"45.7525,3.2675",Pylône tubulaire,"20,5m",ATC FRANCE,2020-12-15,CHA,Montgrillet,False,False
1632183,SFR,,CHEMIN MARS (MONTGRILLET) 63117 CHAURIAT,63106,"45.7525,3.2675",Pylône tubulaire,"20,5m",ATC FRANCE,2016-07-27,CHA,Montgrillet,False,False
1640784,SFR,LTE 700, (LES GOUTTES) 87300 BERNEUIL,87012,"46.0294,1.1414",Pylône autostable,"40,9m",HIVORY,,AJO,,False,False
1643963,BOUYGUES TELECOM,"LTE 1800, 5G NR 2100", (LA VALLÉE DES NOYERS) 86410 LHOMMAIZE,86131,"46.4353,0.6064",Pylône autostable,"32,8m",HIVORY,2026-04-29,ALL,,False,False
1646895,SFR,"LTE 700, 5G NR 2100",CEL DES LANDES (LES CUGNES) 40600 BISCARROSSE,40046,"44.4317,-1.2294",Pylône autostable,23m,HIVORY,2026-04-30,ALL,,False,False
1650612,SFR,"LTE 700, LTE 2100, 5G NR 2100", (BIESSE) 42170 CHAMBLES,42042,"45.4339,4.2256",Pylône autostable,"28,7m",ATC FRANCE,,AJO,,False,False
1650612,SFR,UMTS 2100, (BIESSE) 42170 CHAMBLES,42042,"45.4339,4.2256",Pylône autostable,"28,7m",ATC FRANCE,2017-06-23,SUP,,False,False
1650793,BOUYGUES TELECOM,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (BONNABAUD OUEST) 42430 CHERIER,42061,"45.9667,3.9006",Pylône autostable,31m,HIVORY,,AJO,,False,False
1654228,BOUYGUES TELECOM,"LTE 2600, 5G NR 2100", (LES SOUILLEUX) 22460 GRACE UZEL,22068,"48.2406,-2.7722",Pylône autostable,30m,HIVORY,2026-04-29,ALL,,False,False
1663169,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",SILO ROSACE (LE MONT DES VIGNETTES) 51400 BOUY,51078,"49.0697,4.3292",Silo,"54,2m","Coopérative Agricole, Vinicole",2026-04-29,ALL,,False,False
1666837,BOUYGUES TELECOM,,RUE ZONE INDUSTRIELLE (PELLETET) 40370 RION DES LANDES,40243,"43.9117,-0.9158",Pylône autostable,45m,HIVORY,2021-12-30,CHA,Pelletet,False,False
1666837,FREE MOBILE,,RUE ZONE INDUSTRIELLE (PELLETET) 40370 RION DES LANDES,40243,"43.9117,-0.9158",Pylône autostable,45m,HIVORY,2024-05-13,CHA,Pelletet,False,False
1666837,SFR,,RUE ZONE INDUSTRIELLE (PELLETET) 40370 RION DES LANDES,40243,"43.9117,-0.9158",Pylône autostable,45m,HIVORY,2021-12-21,CHA,Pelletet,False,False
1674256,ORANGE,5G NR 3500,ROUTE DE SAUZET CENTRAL TÉLÉPHONIQUE (LES JONQUIÈRES) 30190 ST GENIES DE MALGOIRES,30255,"43.9514,4.2144",Pylône autostable,23m,TOTEM,2026-04-23,ALL,,False,False
1683454,FREE MOBILE,5G NR 3500,9002 CHEMIN DE PEYRE-PLANTADE SAMG 09100 PAMIERS,09225,"43.125,1.6194",Pylône tubulaire,30m,ON TOWER FRANCE,,AJO,,False,False
