id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1864635,SFR,"UMTS 2100, 5G NR 3500",1 IMP DE L'ANC RUE VERTE 45430 CHECY,45089,"47.8978,2.0403",Pylône autostable,40m,CELLNEX,SUP,,0|120|240,2018-03-06,False,False
1930254,SFR,"LTE 700, LTE 2600",LE VILLAGE 30670 AIGUES VIVES,30004,"43.7361,4.1831",Pylône tubulaire,18m,HIVORY,AJO,,190|340,,False,False
1930254,SFR,LTE 2100,LE VILLAGE 30670 AIGUES VIVES,30004,"43.7361,4.1831",Pylône tubulaire,18m,HIVORY,SUP,,190|340,2024-07-05,False,False
1990887,SFR,"LTE 700, LTE 1800, 5G NR 2100", ( LE FIEF MALADE) 44650 LEGE,44081,"46.9297,-1.5961",Pylône autostable,27m,HIVORY,AJO,,0|120|240,,False,False
2038466,SFR,UMTS 900,2 CHEMIN DES JEUX DÉPART DU TÉLÉCABINE DE L'ALPETTE - D44 (STATION DE L'OLMET) 38114 OZ,38289,"45.1297,6.0733",Bâtiment,19m,"Commune, communauté de commune",SUP,,40|240,,False,False
2179852,SFR,UMTS 900,27 ALLEE DE BOUTIGNY FOSSE À COCHON 77240 VERT ST DENIS,77495,"48.5686,2.6308",Pylône autostable,37m,"Commune, communauté de commune",SUP,,50|180|280,,False,True
2247607,SFR,UMTS 900,ROSTASSAC (TRIGODINA) 46150 ST MEDARD,46280,"44.5286,1.2789",Pylône autostable,30m,TDF,SUP,,130|220|310,,False,False
2268503,SFR,UMTS 900,153 ROUTE DES CAMÉLIAS PRÈS ETS VANDERMEERSCH (LE PETIT CLERCY) 76110 MANNEVILLE LA GOUPIL,76408,"49.6117,0.3569",Pylône autostable,30m,TOTEM,SUP,,140|230|340,,False,False
2280757,SFR,UMTS 900,27 RUE ALEXANDRE DUMAS 62670 MAZINGARBE,62563,"50.4703,2.7433",Pylône autostable,30m,TOTEM,SUP,,20|140|270,,False,True
2289218,SFR,"LTE 700, LTE 1800, 5G NR 2100",D316 (LES VALLEES DU MESNIL) 27930 LE BOULAY MORIN,27099,"49.0667,1.1886",Pylône autostable,"40,5m",BOUYGUES,AJO,,0|120|240,,False,False
2293779,SFR,LTE 2100,CROISEMENT D. 142 - D. 143 (LES TESSAUNIERES) 19300 ROSIERS D EGLETONS,19176,"45.3958,1.9794",Pylône autostable,33m,TOTEM,ALL,,70|190,2026-09-11,False,False
2353507,SFR,5G NR 3500,STADE DE FOOTBALL (LE MOULIN DU BOIS) 35132 VEZIN LE COQUET,35353,"48.1128,-1.7556",Pylône tubulaire,31m,SFR,SUP,,30|120|300,,False,False
2399344,SFR,LTE 1800,40  AV MARCHANDE D 33 57520 GROSBLIEDERSTROFF,57260,"49.1322,7.0425",Pylône autostable,22m,ORANGE,AJA,,210|300,2026-09-11,False,False
2406763,SFR,LTE 700,CHEMIN RURAL LES PLANCHES DE VAUX 70000 ANDELARROT,70020,"47.5781,6.1106",Pylône haubané,38m,Société Privée,ART,,20|90|280,2026-06-26,False,False
2477903,SFR,5G NR 2100,1 RUE DU CHÊNE 39270 DOMPIERRE SUR MONT,39200,"46.5578,5.6006",Pylône autostable,42m,HIVORY,ALL,,60|150|310,2026-09-10,False,False
2483572,SFR,,VOIE COMMUNALE 21 LA MERCERIE (LES CHAUNES) 17210 CHEPNIERS,17099,"45.2631,-0.3261",Pylône autostable,42m,HIVORY,CHH,44m,,,False,False
2579722,SFR,,IMPASSE DES LOGES (LA TURNE) 24700 MENESPLET,24264,"44.995,0.0733",Pylône autostable,"42,5m",HIVORY,CHH,"44,8m",,,False,False
2626982,SFR,5G NR 2100,CHEMIN DE FOURQUES 11220 TALAIRAN,11386,"43.0406,2.6731",Pylône autostable,"24,5m",SFR,AJA,,85|165|325,2026-09-11,False,False
264178,SFR,5G NR 3500,29 R DE LA PALESTINE 35700 RENNES,35238,"48.1153,-1.6661",Immeuble,"21,7m",Société Privée,SUP,,0|120|220,,False,False
2646145,SFR,,CHEZ FERRET (BOUILLON) 17130 CHAMOUILLAC,17081,"45.2967,-0.4758",Pylône autostable,42m,HIVORY,CHH,44m,,,False,False
2665797,SFR,"UMTS 900, LTE 2100",RUE DU DR GRANDJEAN D70 (LE PETIT BOIS) 54110 REMEREVILLE,54456,"48.6981,6.3903",Pylône autostable,40m,ATC FRANCE,SUP,,140|240|350,,False,False
2672489,SFR,"LTE 700, 5G NR 3500",1 CHEMIN DE LA BAIE DE L'AMITIE 34300 AGDE,34003,"43.2783,3.4717",Pylône tubulaire,21m,BOUYGUES,AJA,,20|110|280,2026-09-11,False,False
2672489,SFR,"UMTS 900, LTE 2100",1 CHEMIN DE LA BAIE DE L'AMITIE 34300 AGDE,34003,"43.2783,3.4717",Pylône tubulaire,21m,BOUYGUES,SUP,,20|110|280,2023-07-06,False,False
2703516,SFR,LTE 2100,D216 RTE DE GRETZ (LE CHAMP PATUREAU) 77173 CHEVRY COSSIGNY,77114,"48.7294,2.6767",Pylône autostable,"41,9m",HIVORY,SUP,,40|130|240,,False,True
2784055,SFR,,CHEMIN DES VIGNES (LA GRANDE PIÈCE) 55150 ROMAGNE SOUS LES COTES,55437,"49.3197,5.4692",Pylône autostable,31m,HIVORY,CHH,44m,,,False,False
2807331,SFR,UMTS 900,10-16 RUE JEAN JAURES BELENCONTRE FIN DE LA GUERRE 59200 TOURCOING,59599,"50.7292,3.1492",Immeuble,36m,"Copropriété, Syndic, SCI",SUP,,35|180|270,,False,True
2819232,SFR,UMTS 900,ALL ANDRÉ MALRAUX 37300 JOUE LES TOURS,37122,"47.3558,0.6453",Pylône tubulaire,"42,1m",ON TOWER FRANCE,SUP,,30|150|290,,False,True
2871193,SFR,"LTE 700, LTE 800, LTE 1800, LTE 2600, 5G NR 2100, 5G NR 3500",1 RUE DE LA 1ÈRE ARMÉE FRANÇAISE 1 RUE DU GALTZ 68000 COLMAR,68066,"48.0839,7.3561",Immeuble,42m,"Copropriété, Syndic, SCI",ALL,,80|200|350,2026-09-10,False,True
2877692,SFR,UMTS 900,RUE PAUL LAFARGUE (LE BOIS D'HORNAING) 59171 HORNAING,59314,"50.3725,3.3422",Pylône autostable,40m,ON TOWER FRANCE,SUP,,100|230|340,,False,True
2879116,SFR,UMTS 900,ROUTE DE QUIBERVILLE (LA CROIX VAL) 76690 LA HOUSSAYE BERANGER,76369,"49.6364,1.0761",Pylône autostable,"42,3m",SFR,SUP,,30|120|240,,False,False
2884447,SFR,"UMTS 900, LTE 800, LTE 1800, LTE 2100",ROUTE DE CRETAINE A6 (CHAMP PICARD) 71150 DEMIGNY,71170,"46.9047,4.8222",Pylône autostable,42m,TDF,SUP,,90|180|350,,False,True
2898575,SFR,5G NR 3500,D141 (DELLE DE LA VALLEE) 14550 BLAINVILLE SUR ORNE,14076,"49.2331,-0.3103",Pylône autostable,"26,7m",PHOENIX FRANCE INFRASTRUCTURES,AJO,,0|120|240,,False,False
2914975,SFR,5G NR 3500,RUE VICTOR BACH LOTISSEMENT DE LA SAYE 33920 ST YZAN DE SOUDIAC,33492,"45.1444,-0.3914",Pylône autostable,42m,TDF,AJO,,30|140|240,,False,False
2922318,SFR,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",2 RUE DU TECH 66400 CERET,66049,"42.4886,2.7514",Immeuble,17m,"Copropriété, Syndic, SCI",ALL,,40|190|290,2026-09-15,False,True
2942008,SFR,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",4 RUE GAMBEY 75011 PARIS 11,75111,"48.865,2.3722",Immeuble,"20,5m","Copropriété, Syndic, SCI",ALL,,190|330,2026-09-11,False,True
2956861,SFR,"LTE 700, 5G NR 2100",43 RUE DES TUILERIES 59530 ENGLEFONTAINE,59194,"50.1936,3.6286",Pylône autostable,"45,6m",TDF,AJO,,20|160|270,,False,False
2958072,SFR,UMTS 900,AVENUE DES ÉTATS UNIS ZONE D'ACTIVITÉS DE LALANDE 31500 TOULOUSE,31555,"43.6433,1.4303",Pylône tubulaire,35m,SFR,SUP,,30|140|240,,False,True
2986694,SFR,"LTE 800, LTE 1800, LTE 2600, 5G NR 2100",CHEMIN RURAL (LES BOUCHARDES) 84840 LAPALUD,84064,"44.3025,4.7025",Pylône autostable,24m,CELLNEX,ALL,,65|180|325,2026-09-11,False,False
2996581,SFR,,ROUTE DE FRELAND CHEMIN DU SALEM (LE KALBLIN) 68150 AUBURE,68014,"48.1919,7.2169",Pylône autostable,"42,4m",FREE-MOBILE,CHH,44m,,,False,False
3001395,SFR,"UMTS 900, LTE 2100",RUE DE BEAUMAIS (PLAINE DE BEAUMAIS) 76550 TOURVILLE SUR ARQUES,76707,"49.8567,1.1139",Pylône autostable,24m,SFR,SUP,,30|120|290,,False,False
3003467,SFR,"UMTS 900, LTE 2100",1 RUE DE CALAIS RESIDENCE COLOMBES 59190 HAZEBROUCK,59295,"50.7203,2.5256",Immeuble,21m,Société HLM,SUP,,0|90|180,,False,True
3008575,SFR,"LTE 700, LTE 800, LTE 1800, LTE 2600, 5G NR 2100",ROUTE DE MARQUISE (LE NOUVEAU MONDE) 62610 BALINGHEM,62078,"50.85,1.9417",Pylône autostable,24m,SFR,ALL,,10|100|280,2026-09-11,False,True
3011559,SFR,"UMTS 900, LTE 700, LTE 800",ROUTE DE BERQUEDIOUDE (LES TUILLIERES) 19310 PERPEZAC LE BLANC,19161,"45.2181,1.3367",Pylône autostable,30m,SFR,SUP,,70|190|290,,False,True
3022855,SFR,"UMTS 900, 5G NR 2100",D913 (LE BOIS LE COMTE) 57420 ST JURE,57617,"48.9536,6.2039",Pylône autostable,19m,ATC FRANCE,SUP,,70|260|350,2025-05-19,False,False
3025461,SFR,UMTS 900,9 RUE DE MALACUSSY 42230 ST ETIENNE,42218,"45.4236,4.37",Pylône tubulaire,27m,CELLNEX,SUP,,20|140|260,,False,False
