id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1955889,ORANGE,5G NR 3500,BLD DE L'ESTÉREL 83700 ST RAPHAEL,83118,"43.4333,6.8861",Pylône tubulaire,12m,TOTEM,ART,,50|260,2026-06-05,False,False
1960739,ORANGE,, (MAS NEUF ET AUROUX) 34130 MAUGUIO,34154,"43.6183,3.9822",Pylône tubulaire,30m,TOTEM,CHT,Pylône autostable,,,False,False
1962379,ORANGE,5G NR 3500,ROUTE DES SALLES CORMAND (POLATIEU) 74490 ST JEOIRE,74241,"46.1194,6.4875",Pylône autostable,24m,TOTEM,ART,,50|335,2025-12-08,False,False
1970507,ORANGE,LTE 700,RESTAURANT LE TREMBLANT (LE TREMBLANT) 40240 LUBBON,40161,"44.1283,0.0136",Pylône haubané,37m,TOTEM,ALL,,10|80|220,2026-09-14,False,False
1994400,ORANGE,5G NR 3500,AV PAUL MARCELLIN STADE JOMARD 69120 VAULX EN VELIN,69256,"45.7764,4.9336",Pylône tubulaire,21m,TOTEM,ART,,30|150|270,2025-08-28,False,False
2010230,ORANGE,LTE 2100,ZA DU BOSC (LES MAYOLS) 34130 MUDAISON,34176,"43.64,4.0181",Pylône autostable,30m,TOTEM,ALL,,40|220|300,2026-09-09,False,False
2033603,ORANGE,5G NR 3500,43 RUE JEAN JAURÈS 42150 LA RICAMARIE,42183,"45.3983,4.3572",Bâtiment,20m,Particulier,ART,,0|65|265,2026-08-14,False,False
2038485,ORANGE,5G NR 3500,5-7 AV DE MENIVAL 69005 LYON 05,69385,"45.7553,4.7881",Immeuble,35m,"Copropriété, Syndic, SCI",ART,,20|110|210,2026-06-18,False,False
2052512,ORANGE,5G NR 3500,1 R CONSTANTINE RÉSIDENCE PRÉ CATELAN 59110 LA MADELEINE,59368,"50.6542,3.0592",Immeuble,22m,"Copropriété, Syndic, SCI",ART,,30|150|270,2025-11-28,False,False
2056407,ORANGE,5G NR 700, (LES WARDES) 54960 MERCY LE BAS,54362,"49.3881,5.7658",Pylône autostable,45m,HIVORY,AAV,,80|190|300,2026-09-23,False,False
2084418,ORANGE,5G NR 3500,L'HOSTE DU FAU RTE D'AUBENAS PRÈS N 102 (LUTTE) 07380 PRADES,07182,"44.6422,4.3322",Pylône autostable,18m,TOTEM,ART,,70|305,2025-05-30,False,False
2084937,ORANGE,5G NR 700,RUE DU MARECHAL LECLERC RÉSIDENCE VILLÈRES CAMPO 59490 SOMAIN,59574,"50.3619,3.2736",Immeuble,20m,Société HLM,ALL,,20|120|220,2026-09-17,False,False
2089551,ORANGE,5G NR 2100, (TENUE DES GRAILLINS) 86800 LAVOUX,86124,"46.6036,0.5325",Pylône autostable,30m,TOTEM,ALL,,0|100|210,2026-09-11,False,False
2120511,ORANGE,"LTE 1800, 5G NR 2100",ROUTE DU CIMETIÈRE (GRAND PRÉ) 04120 LA GARDE,04092,"43.8283,6.5572",Pylône autostable,20m,ATC FRANCE,ART,,100|320,2026-06-22,False,False
2131410,ORANGE,LTE 700,PRÈS D311 ANCIENNE VOIE ROMAINE BRENUCHE (LE HAUT BRAY) 72600 ST LONGIS,72295,"48.3533,0.3189",Pylône autostable,30m,ATC FRANCE,AAV,,70|190|310,2026-09-23,False,False
2148262,ORANGE,LTE 700,ANCIENNE VOIE COMMUNALE N°3 EN BORDURE DE LA LGV TOURS-BORDEAUX LES REBARDIÈRES (PIBAUDRY) 37800 PUSSIGNY,37190,"46.9936,0.5442",Pylône autostable,30m,TOTEM,AJO,,30|240,,False,False
2163894,ORANGE,5G NR 3500,CHEMIN DE LA CHARLOTTE 06330 ROQUEFORT LES PINS,06105,"43.6586,7.0575",Pylône autostable,"26,5m",TOTEM,ART,,50|200|310,2025-06-27,False,False
2163929,ORANGE,5G NR 3500,RUE NOTRE DAME 44580 VILLENEUVE EN RETZ,44021,"47.0425,-1.9533",Monument religieux,48m,"Commune, communauté de commune",ART,,45|135|225|315,2025-07-22,False,False
2198084,ORANGE,5G NR 3500,AVENUE DE L'OCÉAN 33970 LEGE CAP FERRET,33236,"44.6564,-1.2422",Mobilier urbain,"3,5m",Société Privée,AJO,,85|265,,False,False
2207391,ORANGE,5G NR 3500,2 RUE SAINT-THÉODORE 69003 LYON 03,69383,"45.7494,4.8633",Bâtiment,"23,7m",Société Privée,ART,,40|150|270,2026-04-13,False,False
2209890,ORANGE,"5G NR 700, 5G NR 3500",RUE DE LA HALTE 45110 ST MARTIN D ABBAT,45290,"47.8569,2.2711",Pylône tubulaire,25m,TOTEM,ALL,,50|170|280,2026-09-11,False,False
2214064,ORANGE,5G NR 3500,QUARTIER AGNARONE VILLAGE DE L'OSPÉDALE (L'OSPEDALE) 02247,2A247,"41.6522,9.1919",Pylône autostable,20m,TOTEM,ART,,90|180,2026-06-08,False,False
2215753,ORANGE,5G NR 3500,1 RUE CHARLES DARWIN (LE SEQUER NEVEZ) 29120 PONT L ABBE,29220,"47.8608,-4.2425",Pylône autostable,30m,TOTEM,ART,,50|140|280,2026-02-06,False,False
222571,ORANGE,5G NR 3500,PL F.R. DULANLOY EGLISE DE VALLET 44330 VALLET,44212,"47.1614,-1.265",Monument religieux,45m,"Commune, communauté de commune",ART,,30|150|270,2026-02-09,False,False
2236634,ORANGE,5G NR 3500,28 AVENUE NOTRE DAME HOTEL MERCURE 06300 NICE,06088,"43.7036,7.2667",Bâtiment,"33,8m","Copropriété, Syndic, SCI",ART,,65|240|315,2026-01-05,False,False
2238260,ORANGE,5G NR 2100,VOIE COMMUNALE N°5 CENTRE TECHNIQUE (LA GÉRARDAIS) 35290 QUEDILLAC,35234,"48.2492,-2.1472",Pylône autostable,40m,TOTEM,AJO,,80|170|350,,False,False
2239280,ORANGE,LTE 700, (L'OISELIÈRE) 76430 LES TROIS PIERRES,76714,"49.5469,0.3889",Pylône autostable,43m,"Commune, communauté de commune",ALL,,130|230|320,2026-09-17,False,False
2251163,ORANGE,5G NR 3500,2 BOULEVARD MARIUS VIVIER MERLE 69003 LYON 03,69383,"45.7636,4.8572",Immeuble,"30,1m","Copropriété, Syndic, SCI",ART,,10|150|235,2026-03-19,False,False
2263827,ORANGE,,RUE DES TOURNESOLS (SUR LES OUCHES) 16290 DOUZAT,16121,"45.7081,-0.0011",Pylône autostable,"24,2m",ATC FRANCE,CHH,24m,,,False,False
2269977,ORANGE,5G NR 700,CHEMIN RURAL N° 2 D'ORCIER AU GRAND MARAIS (LES MARQUISATS) 74550 ORCIER,74206,"46.3158,6.4889",Pylône autostable,25m,TOTEM,ALL,,45|200|320,2026-09-16,False,False
2313669,ORANGE,LTE 1800, (LES GRANDES VERGNES) 85170 DOMPIERRE SUR YON,85081,"46.7664,-1.3969",Pylône autostable,40m,ON TOWER FRANCE,ART,,50|160|300,2026-02-18,False,False
2328444,ORANGE,5G NR 3500,GARE SNCF DE BERRE (L'AUBETTE) 13130 BERRE L ETANG,13014,"43.5011,5.1786",Pylône autostable,20m,ORANGE,ART,,30|150|270,2025-12-23,False,False
2420215,ORANGE,5G NR 2100,ROUTE SIMON DUMARTIN (COTON) 40160 YCHOUX,40332,"44.375,-0.9561",Pylône autostable,30m,TDF,AJO,,0|180,,False,False
2428397,ORANGE,5G NR 3500,7 BOULEVARD JEAN JAURES HOTEL DE VILLE 13400 AUBAGNE,13005,"43.2922,5.5694",Bâtiment,"21,8m","Commune, communauté de commune",ART,,60|170|290,2025-07-11,False,False
2434731,ORANGE,"LTE 2100, LTE 2600",PYLÔNE S/AUTOROUTE (CHEMIN PRE LONG) 69210 LENTILLY,69112,"45.8333,4.6856",Pylône autostable,30m,TOTEM,ART,,70|170|320,2025-08-01,False,False
2434915,ORANGE,5G NR 2100,ACCÈS PAR LA D40 PUIS VC (LES MAUFRUITS) 16560 COULGENS,16107,"45.8144,0.2783",Pylône autostable,36m,TDF,ALL,,120|220|340,2026-09-08,False,False
2438460,ORANGE,"5G NR 700, 5G NR 3500",ROUTE DE TILLY SUR SEULLES 14250 FONTENAY LE PESNEL,14278,"49.1722,-0.5886",Château d'eau - réservoir,35m,"Syndicat des eaux, Adduction",AJO,,90|260,,False,False
2438460,ORANGE,GSM 900,ROUTE DE TILLY SUR SEULLES 14250 FONTENAY LE PESNEL,14278,"49.1722,-0.5886",Château d'eau - réservoir,35m,"Syndicat des eaux, Adduction",SUP,,90|260,1998-09-18,False,False
2450119,ORANGE,5G NR 3500,AVENUE GENERAL DE GAULLE PARKING CENTRE LECLERC 85200 FONTENAY LE COMTE,85092,"46.4644,-0.8233",Pylône tubulaire,34m,TOTEM,ART,,20|110|300,2026-08-11,False,False
2477926,ORANGE,LTE 1800, (WALDBRUDERRAIN) 67530 BOERSCH,67052,"48.4706,7.4025",Pylône autostable,42m,SFR,AJO,,100|220|330,,True,False
2479673,ORANGE,"GSM 900, UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",MAGASIN AUDI (QUARTIER LE FINOSELLO) 02340 AGNICOURT ET SECHELLES,2A004,"41.9483,8.7694",Pylône tubulaire,"17,4m",ORANGE,SUP,,0|80|260,5G NR 3500: 2021-11-26; GSM 900: 2021-11-19; LTE 1800: 2021-11-10; LTE 2100: 2021-11-10; LTE 2600: 2021-11-10; LTE 700: 2021-09-09; LTE 800: 2021-09-09; UMTS 900: 2021-11-16,False,False
2496591,ORANGE,5G NR 3500,29 R FREDERIC BASTIAT 64100 BAYONNE,64102,"43.4928,-1.4736",Mobilier urbain,3m,Société Privée,AJA,,165|245,2026-09-14,False,False
2514021,ORANGE,"LTE 2600, 5G NR 2100",ROUTE DE D31 VERS PETIT PARIS (LA COSTE) 24260 LE BUGUE,24067,"44.9256,0.9478",Pylône autostable,45m,ORANGE,ALL,,50|160|290,2026-09-09,False,False
2526428,ORANGE,5G NR 2100,RUE DE SENS D58 (LE TUREAU) 89140 VILLEPERROT,89465,"48.2547,3.2375",Pylône autostable,39m,TDF,ALL,,160|330,2026-09-09,False,False
2593966,ORANGE,5G NR 2100,ROUTE DU FUT FROID (LES SAUVAGES) 69860 DEUX GROSNES,69135,"46.2389,4.5992",Pylône autostable,32m,TDF,AJA,,175|300,2026-09-14,False,False
2593966,ORANGE,GSM 900,ROUTE DU FUT FROID (LES SAUVAGES) 69860 DEUX GROSNES,69135,"46.2389,4.5992",Pylône autostable,32m,TDF,SUP,,175|300,2005-05-14,False,False
262713,ORANGE,5G NR 700,"41/45, AV JEAN-JACQUES ROUSSEAU 93190 LIVRY GARGAN",93046,"48.9286,2.5417",Immeuble,"14,7m","Copropriété, Syndic, SCI",AJO,,110|230|350,,False,False
