id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1127483,ORANGE,ALL,5G NR 700,PARKING DU CIMETIÈRE COMMUNAL CHEMIN DES BECHETTES (LES COMBES) 01170 CHEVRY,01103,"46.2842,6.0456",Pylône tubulaire,20m,TOTEM,2025-11-20,False,False
1132567,ORANGE,SUP,"GSM 900, LTE 700","6, RUE VILLARET DE JOYEUSE 75017 PARIS 17",75117,"48.8767,2.29",Immeuble,30m,"Copropriété, Syndic, SCI",2017-11-30,False,False
1133560,FREE MOBILE,ALL,LTE 900,VC N° 11 ENCEINTE DU CHÂTEAU D'EAU (LES GRANDES BRUYÈRES) 72400 LA FERTE BERNARD,72132,"48.1936,0.6233",Pylône autostable,37m,TOTEM,2025-11-27,False,False
1140632,FREE MOBILE,AJO,5G NR 3500,AV DE L'HIPPODROME ADM: 52 AV. JEAN ROUSSEAU CRS 59130 LAMBERSART,59328,"50.6461,3.0292",Bâtiment,"43,5m","État, Ministère",,False,False
1146880,FREE MOBILE,ALL,LTE 900,SOMMET-PYLONE TDF PYLONE TDF (LE PUY DE DOME) 63870 ORCINES,63263,"45.7725,2.9647",Bâtiment,20m,TDF,2025-11-27,False,False
1151132,FREE MOBILE,ALL,LTE 900,D 270 (L'ETARDIÈRE) 61600 MAGNY LE DESERT,61243,"48.6008,-0.3133",Pylône autostable,36m,TOTEM,2025-11-27,False,False
1151809,ORANGE,ALL,5G NR 700,69 RUE DUGUESCLIN 69006 LYON 06,69386,"45.7711,4.8472",Immeuble,"28,3m","Copropriété, Syndic, SCI",2025-11-24,False,False
1174057,ORANGE,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100",V.C. N°5 DU RUNIOU (LA LANDE COLAS) 22500 PAIMPOL,22162,"48.7631,-3.0325",Pylône autostable,25m,HIVORY,2014-03-17,False,False
1174374,FREE MOBILE,ALL,LTE 900,133 RTE DE ST CYR CENTRE DE RÉADAPTATION  LE VAL ROSAY 69370 ST DIDIER AU MONT D OR,69194,"45.7981,4.8108",Immeuble,23m,Établissement de soins,2025-11-27,False,False
1183820,FREE MOBILE,ALL,LTE 900, (CHAMP DE BELPECH) 24520 MOULEYDIER,24296,"44.855,0.6022",Pylône autostable,33m,TDF,2025-11-27,False,False
118386,OUTREMER TELECOM,ALL,LTE 2100,25 R DE LA RÉPUBLIQUE 97122 BAIE MAHAULT,97103,"16.2672,-61.5875",Immeuble,15m,Société Privée,2025-07-25,False,False
118386,OUTREMER TELECOM,SUP,GSM 1800,25 R DE LA RÉPUBLIQUE 97122 BAIE MAHAULT,97103,"16.2672,-61.5875",Immeuble,15m,Société Privée,2017-05-27,False,False
118390,DIGICEL,ALL,UMTS 900,CUL DE SAC (PEA TREE HILL) 97150 ST MARTIN,97801,"18.1022,-63.0386",Pylône haubané,12m,Particulier,2025-07-01,False,False
118390,DIGICEL,SUP,GSM 900,CUL DE SAC (PEA TREE HILL) 97150 ST MARTIN,97801,"18.1022,-63.0386",Pylône haubané,12m,Particulier,2012-01-15,False,False
118518,FREE CARAIBES,AJO,"LTE 700, LTE 900, 5G NR 3500",ROUTE DE KAW (RÉSERVOIR MUNICIPAL) 97352 ROURA,97310,"4.7278,-52.3203",Pylône autostable,27m,DIGICEL,,False,False
118518,OUTREMER TELECOM,ALL,LTE 2100,ROUTE DE KAW (RÉSERVOIR MUNICIPAL) 97352 ROURA,97310,"4.7278,-52.3203",Pylône autostable,27m,DIGICEL,2025-09-25,False,False
118518,OUTREMER TELECOM,SUP,GSM 1800,ROUTE DE KAW (RÉSERVOIR MUNICIPAL) 97352 ROURA,97310,"4.7278,-52.3203",Pylône autostable,27m,DIGICEL,2017-04-01,False,False
118538,OUTREMER TELECOM,SUP,GSM 1800,DEGRAD DES CANNES 97354 REMIRE MONTJOLY,97309,"4.8575,-52.2769",Silo,44m,Particulier,2006-08-18,False,False
1185501,ORANGE,SUP,"GSM 900, LTE 700",CHEMIN DE LA TRUQUE 30250 VILLEVIEILLE,30352,"43.7878,4.0983",Château d'eau - réservoir,52m,"Syndicat des eaux, Adduction",1997-06-13,False,False
